epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,259.948,0.86387,0.92535,1.43167,0.94408,0.16667,0.20381,0.07987,2.20158,3.65359,1.97805,4.34826e-05,4.34826e-05,4.34826e-05
92,262.827,0.54308,0.44743,1.15001,0.97137,0.16667,0.1911,0.07375,2.22987,3.72243,2.01147,4.3251e-05,4.3251e-05,4.3251e-05
93,265.81,1.08408,0.84982,1.49808,0.97137,0.16667,0.1911,0.07375,2.22987,3.72243,2.01147,4.30037e-05,4.30037e-05,4.30037e-05
94,268.617,0.77991,0.69697,1.41276,0.97137,0.16667,0.1911,0.07375,2.22987,3.72243,2.01147,4.27408e-05,4.27408e-05,4.27408e-05
95,271.392,0.63227,0.47293,1.20811,0.97137,0.16667,0.1911,0.07375,2.22987,3.72243,2.01147,4.24621e-05,4.24621e-05,4.24621e-05
96,274.279,0.51454,0.43408,0.96417,0.99825,0.16667,0.18883,0.07215,2.21749,3.78858,2.02375,4.21677e-05,4.21677e-05,4.21677e-05
97,277.044,0.70079,0.51548,1.14894,0.99825,0.16667,0.18883,0.07215,2.21749,3.78858,2.02375,4.18575e-05,4.18575e-05,4.18575e-05
98,279.831,0.58507,0.49226,1.11062,0.99825,0.16667,0.18883,0.07215,2.21749,3.78858,2.02375,4.15317e-05,4.15317e-05,4.15317e-05
99,282.655,0.85427,0.56634,1.48308,0.99825,0.16667,0.18883,0.07215,2.21749,3.78858,2.02375,4.11902e-05,4.11902e-05,4.11902e-05
100,285.569,0.5919,0.51816,1.0302,1,0.1586,0.18826,0.07075,2.18582,3.848,2.00492,4.08329e-05,4.08329e-05,4.08329e-05
101,288.384,0.77371,0.66586,1.34125,1,0.1586,0.18826,0.07075,2.18582,3.848,2.00492,4.046e-05,4.046e-05,4.046e-05
102,291.147,0.68847,0.7872,1.32071,1,0.1586,0.18826,0.07075,2.18582,3.848,2.00492,3.96746e-05,3.96746e-05,3.96746e-05
103,293.929,0.71394,0.556,1.26679,1,0.1586,0.18826,0.07075,2.18582,3.848,2.00492,3.88892e-05,3.88892e-05,3.88892e-05
