epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.75412,1.72623,3.59141,2.22677,0.80091,0.64973,0.85122,0.44908,1.92159,1.71682,1.91219,0,0,0
2,8.86913,1.68514,3.22873,2.07265,0.73715,0.65,0.85685,0.43447,1.90328,1.69425,1.90334,1.18215e-06,1.18215e-06,1.18215e-06
3,11.6952,1.64962,4.77774,2.13864,0.62844,0.65,0.85714,0.45163,1.90371,1.69958,1.90403,2.34858e-06,2.34858e-06,2.34858e-06
4,14.6522,1.58146,2.54255,1.83239,0.87898,0.56322,0.79768,0.43917,1.90337,1.69693,1.89724,3.49931e-06,3.49931e-06,3.49931e-06
5,17.4762,1.74804,3.86975,2.34215,0.65904,0.69239,0.86675,0.44695,1.90176,1.70267,1.89387,4.63434e-06,4.63434e-06,4.63434e-06
6,20.2982,2.06508,5.18757,2.46949,0.62067,0.63333,0.81436,0.42512,1.92026,1.69437,1.90018,5.75365e-06,5.75365e-06,5.75365e-06
7,23.0932,1.18687,2.17518,1.63988,0.61342,0.63333,0.80619,0.43651,1.91118,1.70101,1.89787,6.85726e-06,6.85726e-06,6.85726e-06
8,25.8542,1.73426,4.37155,2.10084,0.65005,0.64631,0.80496,0.43102,1.92441,1.7413,1.90426,7.94515e-06,7.94515e-06,7.94515e-06
9,28.6802,1.27071,2.56549,1.72548,0.64944,0.64529,0.80523,0.42903,1.93693,1.75954,1.89694,9.01734e-06,9.01734e-06,9.01734e-06
10,31.4942,1.68201,3.48666,2.22057,0.80576,0.54882,0.78573,0.42589,1.97191,1.81259,1.91389,1.00738e-05,1.00738e-05,1.00738e-05
11,34.3192,1.30727,2.64609,1.77795,0.79298,0.5482,0.77772,0.42475,1.97668,1.83371,1.91303,1.11146e-05,1.11146e-05,1.11146e-05
12,37.1222,1.13902,2.09534,1.61781,0.81019,0.54809,0.77661,0.4238,1.96768,1.85931,1.91131,1.21397e-05,1.21397e-05,1.21397e-05
13,39.9352,0.99767,2.11342,1.35203,0.80654,0.54725,0.77453,0.42362,1.94434,1.87295,1.90177,1.3149e-05,1.3149e-05,1.3149e-05
14,42.7363,2.58613,3.86976,3.01638,0.8149,0.54715,0.75643,0.41777,1.93866,1.90047,1.90659,1.41427e-05,1.41427e-05,1.41427e-05
15,45.5963,0.91014,1.4721,1.19163,0.80395,0.54672,0.75389,0.4102,1.91791,1.94849,1.89447,1.51206e-05,1.51206e-05,1.51206e-05
16,48.4263,1.21595,2.04124,1.79385,0.80831,0.54592,0.66897,0.36497,1.93384,1.98411,1.90229,1.60829e-05,1.60829e-05,1.60829e-05
17,51.2214,0.77416,1.54209,1.30434,0.80654,0.54584,0.67815,0.36942,1.95099,2.01406,1.91456,1.70294e-05,1.70294e-05,1.70294e-05
18,54.0254,1.16691,1.57672,1.58809,0.80654,0.54584,0.67815,0.36942,1.95099,2.01406,1.91456,1.79602e-05,1.79602e-05,1.79602e-05
19,56.8936,0.98251,1.62258,1.30832,0.81415,0.54495,0.65144,0.35001,1.99623,2.03385,1.9504,1.88753e-05,1.88753e-05,1.88753e-05
20,59.7206,1.13356,1.54992,1.56657,0.81415,0.54495,0.65144,0.35001,1.99623,2.03385,1.9504,1.97747e-05,1.97747e-05,1.97747e-05
21,62.558,1.82073,3.31902,2.25348,0.80615,0.54699,0.65072,0.34681,2.0112,2.05972,1.9821,2.06584e-05,2.06584e-05,2.06584e-05
22,65.359,1.51165,2.52072,1.98055,0.80615,0.54699,0.65072,0.34681,2.0112,2.05972,1.9821,2.15264e-05,2.15264e-05,2.15264e-05
23,68.192,1.17299,2.08057,1.66877,0.78749,0.54931,0.65168,0.36688,1.96504,2.11395,1.9502,2.23787e-05,2.23787e-05,2.23787e-05
24,71.0156,1.63649,2.42485,1.97875,0.78749,0.54931,0.65168,0.36688,1.96504,2.11395,1.9502,2.32152e-05,2.32152e-05,2.32152e-05
25,73.9688,0.91653,1.53307,1.42426,0.76778,0.57865,0.62644,0.35091,1.94695,2.20178,1.94285,2.40361e-05,2.40361e-05,2.40361e-05
26,76.9208,1.1814,1.68329,1.59145,0.76778,0.57865,0.62644,0.35091,1.94695,2.20178,1.94285,2.48412e-05,2.48412e-05,2.48412e-05
27,79.8331,1.12555,1.61921,1.68746,0.76102,0.58333,0.62364,0.32291,1.94851,2.2926,1.96195,2.56307e-05,2.56307e-05,2.56307e-05
28,82.5963,0.82251,1.10213,1.30599,0.76102,0.58333,0.62364,0.32291,1.94851,2.2926,1.96195,2.64044e-05,2.64044e-05,2.64044e-05
29,85.4286,0.96029,1.39056,1.35177,0.77145,0.4,0.61711,0.31702,1.95186,2.30252,1.96055,2.71625e-05,2.71625e-05,2.71625e-05
30,88.1905,1.51256,2.05661,1.94458,0.77145,0.4,0.61711,0.31702,1.95186,2.30252,1.96055,2.79048e-05,2.79048e-05,2.79048e-05
31,91.089,0.97663,1.08613,1.33548,0.82941,0.377,0.60875,0.32653,1.95863,2.3414,1.94467,2.86314e-05,2.86314e-05,2.86314e-05
32,93.8307,0.74836,0.9545,1.35709,0.82941,0.377,0.60875,0.32653,1.95863,2.3414,1.94467,2.93423e-05,2.93423e-05,2.93423e-05
33,96.6128,1.08814,1.48367,1.95592,0.82725,0.37629,0.50002,0.27195,2.01808,2.41782,1.96481,3.00375e-05,3.00375e-05,3.00375e-05
34,99.4019,0.93059,0.97225,1.34604,0.82725,0.37629,0.50002,0.27195,2.01808,2.41782,1.96481,3.0717e-05,3.0717e-05,3.0717e-05
35,102.207,1.03761,1.86774,1.45968,0.80188,0.36667,0.46325,0.26253,2.03879,2.4695,1.96968,3.13808e-05,3.13808e-05,3.13808e-05
36,105.047,0.81874,1.15919,1.20068,0.80188,0.36667,0.46325,0.26253,2.03879,2.4695,1.96968,3.20288e-05,3.20288e-05,3.20288e-05
37,107.855,0.78172,0.96451,1.23919,0.79588,0.36667,0.46517,0.26271,2.05561,2.52189,1.97298,3.26612e-05,3.26612e-05,3.26612e-05
38,110.606,0.70086,0.59889,1.14109,0.79588,0.36667,0.46517,0.26271,2.05561,2.52189,1.97298,3.32779e-05,3.32779e-05,3.32779e-05
39,113.53,0.87011,1.04529,1.24193,0.81183,0.36667,0.46412,0.27164,2.06665,2.56439,1.97695,3.38788e-05,3.38788e-05,3.38788e-05
40,116.314,0.81077,0.68412,1.25559,0.81183,0.36667,0.46412,0.27164,2.06665,2.56439,1.97695,3.44641e-05,3.44641e-05,3.44641e-05
41,119.171,0.59504,0.61399,1.07899,0.80578,0.36667,0.46244,0.26924,2.09899,2.64868,1.99139,3.50336e-05,3.50336e-05,3.50336e-05
42,121.887,0.95944,1.32433,1.59187,0.80578,0.36667,0.46244,0.26924,2.09899,2.64868,1.99139,3.55874e-05,3.55874e-05,3.55874e-05
43,124.721,0.76599,0.92894,1.2433,0.82317,0.36691,0.46081,0.2629,2.12652,2.71783,2.01327,3.61255e-05,3.61255e-05,3.61255e-05
44,127.434,0.82797,0.92045,1.41633,0.82317,0.36691,0.46081,0.2629,2.12652,2.71783,2.01327,3.6648e-05,3.6648e-05,3.6648e-05
45,130.295,0.5736,0.68586,1.00852,0.82834,0.3686,0.43105,0.25132,2.15483,2.78579,2.01605,3.71547e-05,3.71547e-05,3.71547e-05
46,133.091,0.77668,0.70025,1.26982,0.82834,0.3686,0.43105,0.25132,2.15483,2.78579,2.01605,3.76457e-05,3.76457e-05,3.76457e-05
47,136.25,1.03639,1.24533,1.53493,0.87607,0.375,0.41271,0.26741,2.1938,2.8246,2.04645,3.81209e-05,3.81209e-05,3.81209e-05
48,139.011,0.89058,1.30479,1.41139,0.87607,0.375,0.41271,0.26741,2.1938,2.8246,2.04645,3.85805e-05,3.85805e-05,3.85805e-05
49,141.798,0.95031,0.75094,1.57688,0.9014,0.37322,0.41182,0.25861,2.17862,2.9198,2.05682,3.90244e-05,3.90244e-05,3.90244e-05
50,144.547,0.663,0.77199,1.38683,0.9014,0.37322,0.41182,0.25861,2.17862,2.9198,2.05682,3.94525e-05,3.94525e-05,3.94525e-05
51,147.363,0.64664,0.51682,1.09514,0.87618,0.37901,0.41153,0.25623,2.17683,2.94683,2.05735,3.9865e-05,3.9865e-05,3.9865e-05
52,150.17,0.91673,0.79681,1.46129,0.87618,0.37901,0.41153,0.25623,2.17683,2.94683,2.05735,4.02617e-05,4.02617e-05,4.02617e-05
53,152.934,0.68423,0.698,1.1545,0.87618,0.37901,0.41153,0.25623,2.17683,2.94683,2.05735,4.06428e-05,4.06428e-05,4.06428e-05
54,155.792,0.968,0.72093,1.45593,0.8193,0.38333,0.40841,0.24914,2.18417,2.96237,2.06033,4.10081e-05,4.10081e-05,4.10081e-05
55,158.518,0.65908,0.60736,1.14803,0.8193,0.38333,0.40841,0.24914,2.18417,2.96237,2.06033,4.13577e-05,4.13577e-05,4.13577e-05
56,161.256,1.05912,1.00752,1.66928,0.8193,0.38333,0.40841,0.24914,2.18417,2.96237,2.06033,4.16917e-05,4.16917e-05,4.16917e-05
57,164.143,1.12552,1.21643,1.6125,0.87335,0.21629,0.41159,0.23041,2.2038,3.00922,2.06203,4.20099e-05,4.20099e-05,4.20099e-05
58,166.886,0.94625,1.08379,1.4137,0.87335,0.21629,0.41159,0.23041,2.2038,3.00922,2.06203,4.23124e-05,4.23124e-05,4.23124e-05
59,169.608,0.89077,0.70824,1.31365,0.87335,0.21629,0.41159,0.23041,2.2038,3.00922,2.06203,4.25991e-05,4.25991e-05,4.25991e-05
60,172.402,1.2964,1.05931,1.88204,0.88791,0.20499,0.31475,0.16568,2.19263,3.14235,2.04706,4.28702e-05,4.28702e-05,4.28702e-05
61,175.192,0.64775,0.68971,1.08943,0.88791,0.20499,0.31475,0.16568,2.19263,3.14235,2.04706,4.31256e-05,4.31256e-05,4.31256e-05
62,178.054,0.6275,0.61503,1.05813,0.88791,0.20499,0.31475,0.16568,2.19263,3.14235,2.04706,4.33653e-05,4.33653e-05,4.33653e-05
63,180.918,0.6667,0.68642,1.17501,0.87545,0.21507,0.25597,0.13927,2.26801,3.27792,2.08319,4.35892e-05,4.35892e-05,4.35892e-05
64,183.706,0.68,0.56207,1.16938,0.87545,0.21507,0.25597,0.13927,2.26801,3.27792,2.08319,4.37975e-05,4.37975e-05,4.37975e-05
65,186.461,0.66451,0.71989,1.29427,0.87545,0.21507,0.25597,0.13927,2.26801,3.27792,2.08319,4.399e-05,4.399e-05,4.399e-05
66,189.247,0.75968,0.79815,1.20147,0.8727,0.21144,0.25525,0.13871,2.28585,3.30355,2.06632,4.41668e-05,4.41668e-05,4.41668e-05
67,192.098,0.68423,0.76552,1.08304,0.8727,0.21144,0.25525,0.13871,2.28585,3.30355,2.06632,4.4328e-05,4.4328e-05,4.4328e-05
68,194.957,1.32235,1.6857,1.74699,0.8727,0.21144,0.25525,0.13871,2.28585,3.30355,2.06632,4.44734e-05,4.44734e-05,4.44734e-05
69,197.778,0.63574,0.93467,1.17601,0.8541,0.19516,0.25717,0.13944,2.25237,3.33999,2.02801,4.46031e-05,4.46031e-05,4.46031e-05
70,200.532,0.9692,0.7296,1.55605,0.8541,0.19516,0.25717,0.13944,2.25237,3.33999,2.02801,4.47171e-05,4.47171e-05,4.47171e-05
71,203.348,0.93149,0.91525,1.43751,0.8541,0.19516,0.25717,0.13944,2.25237,3.33999,2.02801,4.48154e-05,4.48154e-05,4.48154e-05
72,206.185,0.54225,0.44608,1.05479,0.82673,0.18318,0.24081,0.12071,2.21575,3.3879,1.98791,4.4898e-05,4.4898e-05,4.4898e-05
73,209.05,0.68142,0.7699,1.20409,0.82673,0.18318,0.24081,0.12071,2.21575,3.3879,1.98791,4.49649e-05,4.49649e-05,4.49649e-05
74,211.798,0.65518,0.57605,1.35345,0.82673,0.18318,0.24081,0.12071,2.21575,3.3879,1.98791,4.5016e-05,4.5016e-05,4.5016e-05
75,214.648,0.66874,0.5733,1.22811,0.83663,0.18368,0.23724,0.12054,2.19596,3.44542,1.97585,4.50515e-05,4.50515e-05,4.50515e-05
76,217.425,0.7205,0.61225,1.32521,0.83663,0.18368,0.23724,0.12054,2.19596,3.44542,1.97585,4.50713e-05,4.50713e-05,4.50713e-05
77,220.204,0.57545,0.6308,1.12227,0.83663,0.18368,0.23724,0.12054,2.19596,3.44542,1.97585,4.50753e-05,4.50753e-05,4.50753e-05
78,223.085,0.81151,0.83231,1.23654,0.97126,0.16667,0.25232,0.11751,2.18512,3.50987,1.96976,4.50636e-05,4.50636e-05,4.50636e-05
79,225.947,0.87268,0.72943,1.46997,0.97126,0.16667,0.25232,0.11751,2.18512,3.50987,1.96976,4.50363e-05,4.50363e-05,4.50363e-05
80,228.728,0.75609,0.71286,1.24983,0.97126,0.16667,0.25232,0.11751,2.18512,3.50987,1.96976,4.49932e-05,4.49932e-05,4.49932e-05
81,231.571,0.4865,0.37638,0.96149,0.9432,0.16667,0.21418,0.09751,2.22341,3.56797,2.00749,4.49344e-05,4.49344e-05,4.49344e-05
82,234.376,0.66614,0.5222,1.10666,0.9432,0.16667,0.21418,0.09751,2.22341,3.56797,2.00749,4.48599e-05,4.48599e-05,4.48599e-05
83,237.191,0.61474,0.59559,1.09568,0.9432,0.16667,0.21418,0.09751,2.22341,3.56797,2.00749,4.47697e-05,4.47697e-05,4.47697e-05
84,240.129,0.70914,0.58467,1.16055,0.94191,0.16667,0.20719,0.09167,2.22696,3.63683,2.01168,4.46638e-05,4.46638e-05,4.46638e-05
85,242.895,0.69523,0.61275,1.28291,0.94191,0.16667,0.20719,0.09167,2.22696,3.63683,2.01168,4.45422e-05,4.45422e-05,4.45422e-05
86,245.657,0.56675,0.47891,1.15983,0.94191,0.16667,0.20719,0.09167,2.22696,3.63683,2.01168,4.44049e-05,4.44049e-05,4.44049e-05
87,248.429,0.68538,0.58044,1.11587,0.94191,0.16667,0.20719,0.09167,2.22696,3.63683,2.01168,4.42518e-05,4.42518e-05,4.42518e-05
88,251.333,0.77682,0.69604,1.49692,0.94408,0.16667,0.20381,0.07987,2.20158,3.65359,1.97805,4.40831e-05,4.40831e-05,4.40831e-05
89,254.216,1.34337,0.88701,1.86506,0.94408,0.16667,0.20381,0.07987,2.20158,3.65359,1.97805,4.38986e-05,4.38986e-05,4.38986e-05
90,257.149,0.67384,0.59447,1.12108,0.94408,0.16667,0.20381,0.07987,2.20158,3.65359,1.97805,4.36985e-05,4.36985e-05,4.36985e-05
