epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.43878,1.33611,2.86921,1.64364,0.57454,0.85,0.87817,0.63489,1.64738,1.07035,1.38135,0,0,0
2,4.47237,1.20416,2.69406,1.511,0.56574,0.85,0.8488,0.6319,1.64478,1.06028,1.37173,1.17822e-06,1.17822e-06,1.17822e-06
3,5.29139,1.1601,3.63341,1.57315,0.55956,0.85,0.85083,0.63276,1.66527,1.06101,1.37731,2.33288e-06,2.33288e-06,2.33288e-06
4,6.11294,1.27724,2.74018,1.38866,0.56026,0.85,0.84952,0.61586,1.65912,1.05348,1.37599,3.46397e-06,3.46397e-06,3.46397e-06
5,6.98384,1.37198,3.08503,1.72634,0.5651,0.85,0.85526,0.63771,1.65728,1.04075,1.36954,4.5715e-06,4.5715e-06,4.5715e-06
6,7.76809,1.56189,4.11418,1.96485,0.54414,0.85,0.8936,0.63825,1.68403,1.05837,1.37583,5.65548e-06,5.65548e-06,5.65548e-06
7,8.59894,1.13976,1.91306,1.41952,0.53944,0.85173,0.89406,0.64255,1.68268,1.05915,1.37528,6.71588e-06,6.71588e-06,6.71588e-06
8,9.4607,1.37611,4.01878,1.61443,0.55029,0.85949,0.85911,0.61257,1.64201,1.05719,1.35113,7.75273e-06,7.75273e-06,7.75273e-06
9,10.2827,1.11618,2.70406,1.41099,0.56884,0.86386,0.81827,0.59503,1.6635,1.05919,1.36163,8.76602e-06,8.76602e-06,8.76602e-06
10,11.223,1.18655,3.4473,1.59516,0.57996,0.86406,0.81417,0.59502,1.65531,1.05637,1.35492,9.75574e-06,9.75574e-06,9.75574e-06
11,12.0889,1.20762,2.4692,1.45278,0.59064,0.8637,0.85595,0.61995,1.65247,1.063,1.35423,1.07219e-05,1.07219e-05,1.07219e-05
12,12.8983,0.9914,2.00612,1.36598,0.58565,0.86399,0.85561,0.62083,1.66152,1.07352,1.36184,1.16645e-05,1.16645e-05,1.16645e-05
