epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.71552,1.80101,3.65522,1.62743,0.44227,0.45,0.56663,0.32639,1.76082,1.937,1.21428,0,0,0
2,3.21652,1.58507,4.40742,1.49642,0.4518,0.45,0.56651,0.32636,1.77855,1.95108,1.21277,1.16644e-06,1.16644e-06,1.16644e-06
3,3.69552,1.10994,4.72616,1.30628,0.4856,0.45,0.56692,0.32212,1.79684,1.93172,1.21517,2.28575e-06,2.28575e-06,2.28575e-06
4,4.15052,1.77741,5.55851,1.49218,0.49552,0.45,0.56691,0.32215,1.8009,1.99777,1.21188,3.35794e-06,3.35794e-06,3.35794e-06
5,4.59653,1.82325,5.3174,1.83604,0.52665,0.45,0.57527,0.32468,1.80079,2.02089,1.20647,4.38301e-06,4.38301e-06,4.38301e-06
6,5.04953,1.55048,5.27997,1.68025,0.1588,0.65,0.59263,0.33935,1.80853,2.02115,1.20396,5.36095e-06,5.36095e-06,5.36095e-06
7,5.50253,1.27856,4.29618,1.32682,0.17277,0.65,0.59312,0.33575,1.81506,2.02278,1.20571,6.29177e-06,6.29177e-06,6.29177e-06
8,5.96953,1.16095,5.10012,1.40124,0.16573,0.65,0.57574,0.31505,1.80903,2.07,1.2049,7.17546e-06,7.17546e-06,7.17546e-06
9,6.42153,1.80506,5.3303,1.81618,0.16582,0.65,0.53501,0.30734,1.81671,2.12422,1.20862,8.01203e-06,8.01203e-06,8.01203e-06
10,6.88053,1.73778,4.87192,1.70699,0.60928,0.35828,0.57676,0.3195,1.82874,2.14039,1.21321,8.80148e-06,8.80148e-06,8.80148e-06
11,7.33453,1.84361,4.73219,1.64061,0.60912,0.35868,0.57742,0.31825,1.82848,2.1703,1.21478,9.5438e-06,9.5438e-06,9.5438e-06
12,7.78154,1.55805,4.52675,1.4134,0.60763,0.35804,0.52584,0.29837,1.8261,2.19843,1.21261,1.0239e-05,1.0239e-05,1.0239e-05
13,8.23754,1.56342,5.18546,1.57544,0.60794,0.35853,0.52474,0.29841,1.83487,2.21229,1.21258,1.08871e-05,1.08871e-05,1.08871e-05
14,8.69854,1.40402,4.04945,1.52597,0.607,0.35682,0.52505,0.31531,1.82769,2.24217,1.21008,1.1488e-05,1.1488e-05,1.1488e-05
15,9.14155,1.44939,4.71406,1.41698,0.68667,0.35563,0.525,0.31526,1.82297,2.24233,1.20353,1.20418e-05,1.20418e-05,1.20418e-05
16,9.60454,1.57193,4.93041,1.55031,0.26615,0.56667,0.48414,0.29718,1.81503,2.25878,1.19611,1.25486e-05,1.25486e-05,1.25486e-05
17,10.0565,1.42107,4.58983,1.50528,0.26615,0.56667,0.49803,0.30347,1.80983,2.29682,1.19835,1.30081e-05,1.30081e-05,1.30081e-05
18,10.4735,1.3629,3.68179,1.44578,0.26615,0.56667,0.49803,0.30347,1.80983,2.29682,1.19835,1.34206e-05,1.34206e-05,1.34206e-05
19,10.9405,1.64826,4.66749,1.60359,0.26318,0.56667,0.48393,0.29726,1.82598,2.27605,1.19843,1.37859e-05,1.37859e-05,1.37859e-05
20,11.3695,1.37587,3.92689,1.32071,0.26318,0.56667,0.48393,0.29726,1.82598,2.27605,1.19843,1.41041e-05,1.41041e-05,1.41041e-05
21,11.8426,1.59441,3.93181,1.61906,0.26419,0.55,0.48276,0.30642,1.82999,2.34616,1.19336,1.43752e-05,1.43752e-05,1.43752e-05
22,12.2596,1.41414,4.05014,1.45153,0.26419,0.55,0.48276,0.30642,1.82999,2.34616,1.19336,1.45992e-05,1.45992e-05,1.45992e-05
23,12.7246,1.33632,4.75399,1.38351,0.26857,0.55,0.48307,0.30653,1.84026,2.34826,1.18964,1.4776e-05,1.4776e-05,1.4776e-05
24,13.1486,1.54271,4.05284,1.60947,0.26857,0.55,0.48307,0.30653,1.84026,2.34826,1.18964,1.49057e-05,1.49057e-05,1.49057e-05
25,13.5976,1.66948,4.36682,1.59636,0.25725,0.46667,0.45549,0.28976,1.84452,2.37405,1.18602,1.49883e-05,1.49883e-05,1.49883e-05
26,14.0336,1.74009,4.24331,1.75186,0.25725,0.46667,0.45549,0.28976,1.84452,2.37405,1.18602,1.50238e-05,1.50238e-05,1.50238e-05
27,14.4876,1.39776,3.67472,1.45488,0.28535,0.46667,0.46261,0.30282,1.85844,2.43912,1.19422,1.50121e-05,1.50121e-05,1.50121e-05
28,14.9276,1.40734,3.91868,1.41961,0.28535,0.46667,0.46261,0.30282,1.85844,2.43912,1.19422,1.49533e-05,1.49533e-05,1.49533e-05
29,15.3956,1.79634,4.20783,1.63647,0.28175,0.46667,0.46291,0.30296,1.85375,2.37976,1.18148,1.48474e-05,1.48474e-05,1.48474e-05
30,15.8296,1.59899,4.76748,1.579,0.28175,0.46667,0.46291,0.30296,1.85375,2.37976,1.18148,1.46944e-05,1.46944e-05,1.46944e-05
31,16.2916,1.58546,3.96572,1.43419,0.2914,0.46667,0.46305,0.30319,1.87831,2.49254,1.1988,1.44942e-05,1.44942e-05,1.44942e-05
32,16.7116,1.22491,4.53885,1.39395,0.2914,0.46667,0.46305,0.30319,1.87831,2.49254,1.1988,1.42469e-05,1.42469e-05,1.42469e-05
33,17.1656,1.63964,3.37909,1.68803,0.31375,0.46667,0.46283,0.30265,1.87438,2.57764,1.19907,1.39525e-05,1.39525e-05,1.39525e-05
